,Time,Depth,Distance,Root Mean Square,Azimuthal Gap,Magnitude,Waveform
256,1293603071680,6.057,0.02613,0.11,131.0,0.59,md
257,1293601540820,0.78,0.003604,0.02,85.0,0.88,md
258,1293601372770,2.425,0.004505,0.14,67.0,0.86,md
259,1293601220180,5.142,0.1333,0.04,142.0,0.77,md
260,1293600628930,-0.056,0.007207,0.01,99.0,0.32,md
261,1293599372040,15.258,0.06467,0.16,54.0,0.91,ml
262,1293598925260,2.976,0.001802,0.05,87.0,0.58,md
263,1293598874060,7.91,0.1205,0.23,73.0,1.49,ml
264,1293598123866,7.8,0.172,0.1183,149.32,1.3,ml
265,1293595606490,1.984,0.005405,0.06,32.0,1.55,md
266,1293594267531,9.5,0.121,0.1254,74.01,1.1,mb
267,1293594263436,0.0,0.116,0.1589,142.67,1.0,ml
268,1293593455950,2.89,0.07117,0.1,88.0,2.08,md
269,1293592418170,3.717,0.09404,0.1,180.0,1.15,ml
270,1293591318920,1.413,0.03784,0.12,98.0,0.82,md
271,1293591210170,0.601,0.0009009,0.02,126.0,0.91,md
272,1293590265030,0.444,0.01892,0.06,81.0,1.38,md
273,1293589911540,0.51,0.01081,0.05,78.0,0.85,md
274,1293589659430,1.81,0.01441,0.04,114.0,0.74,md
275,1293589615420,1.325,0.01171,0.09,31.0,2.9,md
276,1293589449330,15.543,0.09055,0.15,82.0,1.11,ml
277,1293588736195,7.8,0.071,0.1426,107.48,1.0,mb
278,1293588526160,9.886,0.03243,0.09,109.0,0.8,md
279,1293588387440,14.993,0.09369,0.18,107.0,1.08,ml
280,1293588108620,5.294,0.08108,0.06,114.0,1.42,md
281,1293587613420,4.316,0.08468,0.07,68.0,3.3,ml
282,1293587086740,6.691,0.02703,0.05,38.0,1.73,md
283,1293586422580,3.768,0.1044,0.14,91.0,1.32,ml
284,1293586031700,0.569,0.08559,0.19,89.0,0.66,md
285,1293585733350,1.969,0.01441,0.06,45.0,2.19,md
286,1293583743370,0.668,0.00991,0.05,88.0,1.34,md
287,1293581577870,1.545,0.005405,0.07,43.0,3.13,ml
288,1293580195510,8.087,0.1545,0.14,91.0,0.94,ml
289,1293579574520,14.219,0.2853,0.09,325.0,0.86,ml
290,1293578585630,15.73,0.07998,0.11,171.0,0.61,ml
291,1293578285990,0.428,0.01171,0.05,90.0,0.82,md
292,1293577790920,8.287,0.05315,0.1,77.0,1.67,md
293,1293577779770,2.72,0.01081,0.05,86.0,1.04,md
294,1293577384320,-0.061,0.01261,0.06,67.0,1.78,md
295,1293574795890,1.8,0.01171,0.07,96.0,0.99,md
296,1293573843890,4.728,0.04775,0.04,103.0,0.64,md
297,1293573502960,0.092,0.007207,0.02,84.0,0.96,md
298,1293571507090,2.046,0.01351,0.04,103.0,0.39,md
299,1293571036000,1.414,0.005405,0.03,126.0,0.88,md
300,1293570654510,10.19,0.007207,0.08,83.0,1.29,md
301,1293569939870,1.859,0.01622,0.05,94.0,0.81,md
302,1293569923870,1.639,0.009009,0.07,45.0,1.91,md
303,1293569576600,7.751,0.09837,0.11,98.0,0.83,ml
304,1293568223804,6.3,0.086,0.1169,128.46,1.0,mb
305,1293567720250,9.106,0.03002,0.12,85.0,0.68,ml
306,1293566210701,9.8,0.055,0.0665,47.08,1.5,ml
307,1293565966650,1.638,0.01532,0.04,102.0,0.89,md
308,1293564393210,1.309,0.00991,0.04,52.0,0.43,md
309,1293563794010,2.433,0.01982,0.09,94.0,1.8,md
310,1293560695180,1.019,0.007207,0.07,45.0,1.28,md
311,1293559800040,1.23,0.004505,0.06,86.0,1.08,md
312,1293559533450,2.748,0.00991,0.01,133.0,0.56,md
313,1293557349910,8.936,0.008108,0.06,163.0,0.82,md
314,1293556461530,1.44,0.005405,0.06,94.0,1.05,md
315,1293556266450,1.414,0.008108,0.03,96.0,0.57,md
316,1293555235270,17.641,0.1595,0.14,131.0,1.68,md
317,1293554757820,13.133,0.04234,0.19,87.0,1.56,md
318,1293553051225,8.7,0.008,0.0886,103.26,0.8,ml
319,1293551334370,-0.354,0.01261,0.03,98.0,0.54,md
320,1293551289150,3.719,0.1486,0.09,112.0,0.99,ml
321,1293550833520,4.044,0.01532,0.02,222.0,0.57,md
322,1293550678330,1.423,0.01261,0.02,133.0,0.45,md
323,1293548034170,4.477,0.1567,0.19,45.0,1.79,ml
324,1293547828470,0.406,0.01532,0.06,36.0,2.18,md
325,1293547629820,5.912,0.1856,0.16,173.0,1.09,md
326,1293545538430,1.554,0.01171,0.12,65.0,2.1,md
327,1293545534350,1.244,0.01261,0.07,39.0,1.7,md
328,1293543984490,3.19,0.004505,0.03,118.0,0.88,md
329,1293542678840,6.604,0.02162,0.07,65.0,1.33,md
330,1293542538040,10.346,0.01187,0.14,74.0,0.84,ml
331,1293541285824,1.2,0.092,0.1131,117.21,1.0,mb
332,1293540440560,0.794,0.007207,0.01,203.0,0.48,md
